Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
50 ST-D,61,B14,BMT,West End,50 St,Bk,D,Elevated,40.63626,-73.994791,Manhattan,Coney Island,"N"
51 ST-6,612,630,IRT,Lexington Av,51 St,M,6,Subway,40.757107,-73.97192,Uptown & The Bronx,Downtown,"Y"
52 ST-7,457,713,IRT,Flushing,52 St,Q,7,Elevated,40.744149,-73.912549,Flushing,Manhattan,"N"
53 ST-R,34,R40,BMT,4th Av,53 St,Bk,R,Subway,40.645069,-74.014034,Manhattan,Bay Ridge - 95 St,"N"
55 ST-D,62,B15,BMT,West End,55 St,Bk,D,Elevated,40.631435,-73.995476,Manhattan,Coney Island,"N"
57 ST-7 AV-NQRW,9,R14,BMT,Broadway - Brighton,57 St-7 Av,M,N Q R W,Subway,40.764664,-73.980658,Uptown & Queens,Downtown & Brooklyn,"Y"
57 ST-F,224,B10,IND,6th Av - Culver,57 St,M,F,Subway,40.763972,-73.97745,Uptown & Queens,Downtown & Brooklyn,"Y"
59 ST COLUMBUS-1ABCD,614,A24,IND,8th Av - Fulton St,59 St-Columbus Circle,M,1 A B C D,Subway,40.768296,-73.981736,Uptown & The Bronx,Downtown & Brooklyn,"Y"
59 ST-456NQRW,613,629,IRT,Lexington Av,59 St,M,4 5 6 N Q R W,Subway,40.762526,-73.967967,Uptown & The Bronx,Downtown & Brooklyn,"Y"
59 ST-NRW,35,R41,BMT,4th Av,59 St,Bk,D N R,Subway,40.641362,-74.017881,Manhattan,Coney Island - Bay Ridge,"N"
61 ST WOODSIDE-7,456,712,IRT,Flushing,Woodside-61 St,Q,7,Elevated,40.74563,-73.902984,Flushing,Manhattan,"N"
63 DR-REGO PARK-MR,263,G10,IND,Queens Blvd,63 Dr-Rego Park,Q,M R,Subway,40.729846,-73.861604,Forest Hills,Manhattan,"N"
65 ST-MR,268,G15,IND,Queens Blvd,65 St,Q,M R,Subway,40.749669,-73.898453,Forest Hills,Manhattan,"N"
